,event_id,user_id,event_type,event_time,level_completed,event_day,event_month,event_year
46,47,693,item_used,2024-03-05,28,5,3,2024
47,48,636,level_completed,2024-08-20,39,20,8,2024
48,49,882,achievement_unlocked,2024-05-31,5,31,5,2024
49,50,697,achievement_unlocked,2024-03-04,38,4,3,2024
50,51,847,item_used,2024-04-17,13,17,4,2024
51,52,60,level_completed,2024-07-14,35,14,7,2024
52,53,351,level_completed,2024-03-31,48,31,3,2024
53,54,763,achievement_unlocked,2024-09-27,38,27,9,2024
54,55,6,achievement_unlocked,2024-01-20,31,20,1,2024
55,56,589,achievement_unlocked,2024-03-22,31,22,3,2024
56,57,905,item_used,2024-01-13,47,13,1,2024
57,58,358,item_used,2024-03-20,25,20,3,2024
58,59,902,item_used,2024-01-20,39,20,1,2024
59,60,745,achievement_unlocked,2024-09-07,31,7,9,2024
60,61,66,item_used,2024-08-02,2,2,8,2024
61,62,449,achievement_unlocked,2024-02-02,6,2,2,2024
62,63,788,item_used,2024-07-10,37,10,7,2024
63,64,625,achievement_unlocked,2024-05-05,30,5,5,2024
64,65,561,item_used,2024-02-20,5,20,2,2024
65,66,680,item_used,2024-07-04,2,4,7,2024
66,67,158,level_completed,2024-03-22,41,22,3,2024
67,68,819,achievement_unlocked,2024-04-22,19,22,4,2024
68,69,97,achievement_unlocked,2024-06-19,6,19,6,2024
69,70,789,level_completed,2024-07-22,9,22,7,2024
70,71,824,item_used,2024-03-22,1,22,3,2024
71,72,277,item_used,2024-07-15,22,15,7,2024
72,73,84,achievement_unlocked,2024-06-06,17,6,6,2024
73,74,192,level_completed,2024-01-11,3,11,1,2024
74,75,972,level_completed,2024-02-18,34,18,2,2024
75,76,488,level_completed,2024-09-19,23,19,9,2024
76,77,48,level_completed,2024-08-14,47,14,8,2024
77,78,695,level_completed,2024-08-03,39,3,8,2024
78,79,267,item_used,2024-03-30,13,30,3,2024
79,80,270,item_used,2024-02-04,3,4,2,2024
80,81,747,level_completed,2024-07-28,22,28,7,2024
81,82,119,level_completed,2024-04-18,21,18,4,2024
82,83,683,item_used,2024-02-07,14,7,2,2024
83,84,169,achievement_unlocked,2024-04-14,50,14,4,2024
84,85,164,item_used,2024-08-08,28,8,8,2024
85,86,937,item_used,2024-04-28,46,28,4,2024
86,87,801,item_used,2024-09-25,15,25,9,2024
87,88,399,achievement_unlocked,2024-02-20,17,20,2,2024
88,89,153,level_completed,2024-01-22,47,22,1,2024
89,90,178,level_completed,2024-02-09,35,9,2,2024
90,91,96,level_completed,2024-09-07,35,7,9,2024
91,92,820,item_used,2024-04-06,17,6,4,2024
92,93,455,level_completed,2024-09-28,4,28,9,2024
93,94,917,achievement_unlocked,2024-03-19,21,19,3,2024
94,95,663,item_used,2024-02-17,43,17,2,2024
95,96,892,level_completed,2024-03-19,5,19,3,2024
96,97,487,achievement_unlocked,2024-01-10,33,10,1,2024
97,98,207,achievement_unlocked,2024-01-15,43,15,1,2024
98,99,930,achievement_unlocked,2024-09-17,6,17,9,2024
99,100,733,achievement_unlocked,2024-08-26,1,26,8,2024
100,101,177,level_completed,2024-07-03,45,3,7,2024
101,102,598,item_used,2024-07-25,21,25,7,2024
102,103,340,level_completed,2024-05-21,7,21,5,2024
103,104,252,achievement_unlocked,2024-03-01,48,1,3,2024
104,105,265,achievement_unlocked,2024-07-15,12,15,7,2024
105,106,163,item_used,2024-04-30,24,30,4,2024
106,107,487,level_completed,2024-08-06,37,6,8,2024
107,108,691,item_used,2024-08-31,42,31,8,2024
108,109,983,achievement_unlocked,2024-06-17,38,17,6,2024
109,110,303,item_used,2024-08-28,19,28,8,2024
110,111,852,level_completed,2024-07-07,8,7,7,2024
111,112,593,level_completed,2024-04-16,1,16,4,2024
112,113,548,item_used,2024-08-11,29,11,8,2024
113,114,690,item_used,2024-01-10,39,10,1,2024
114,115,357,item_used,2024-03-14,34,14,3,2024
115,116,63,item_used,2024-03-31,1,31,3,2024
116,117,595,achievement_unlocked,2024-01-02,32,2,1,2024
117,118,481,item_used,2024-04-05,3,5,4,2024
118,119,990,level_completed,2024-07-28,4,28,7,2024
119,120,171,item_used,2024-01-13,40,13,1,2024
120,121,179,item_used,2024-03-05,11,5,3,2024
121,122,612,achievement_unlocked,2024-03-19,23,19,3,2024
122,123,253,level_completed,2024-06-10,45,10,6,2024
123,124,678,level_completed,2024-02-22,21,22,2,2024
124,125,296,level_completed,2024-03-27,47,27,3,2024
125,126,882,level_completed,2024-06-16,45,16,6,2024
126,127,38,achievement_unlocked,2024-03-07,3,7,3,2024
127,128,645,achievement_unlocked,2024-07-13,15,13,7,2024
128,129,313,level_completed,2024-07-16,18,16,7,2024
129,130,100,achievement_unlocked,2024-01-14,29,14,1,2024
130,131,553,item_used,2024-06-20,21,20,6,2024
131,132,934,item_used,2024-03-19,30,19,3,2024
132,133,522,achievement_unlocked,2024-02-07,22,7,2,2024
133,134,415,achievement_unlocked,2024-02-13,23,13,2,2024
134,135,659,item_used,2024-05-05,11,5,5,2024
135,136,792,item_used,2024-03-06,38,6,3,2024
136,137,728,item_used,2024-02-27,4,27,2,2024
137,138,150,item_used,2024-08-04,35,4,8,2024
138,139,164,level_completed,2024-06-17,47,17,6,2024
139,140,615,item_used,2024-08-03,22,3,8,2024
140,141,478,level_completed,2024-02-04,12,4,2,2024
141,142,501,item_used,2024-05-03,13,3,5,2024
142,143,929,item_used,2024-04-30,27,30,4,2024
143,144,171,item_used,2024-06-01,4,1,6,2024
144,145,888,item_used,2024-08-27,4,27,8,2024
145,146,227,item_used,2024-09-04,26,4,9,2024
146,147,2,achievement_unlocked,2024-05-24,16,24,5,2024
147,148,924,achievement_unlocked,2024-07-07,19,7,7,2024
148,149,231,level_completed,2024-05-15,6,15,5,2024
149,150,491,item_used,2024-08-28,44,28,8,2024
150,151,633,achievement_unlocked,2024-03-06,14,6,3,2024
151,152,384,achievement_unlocked,2024-06-25,4,25,6,2024
152,153,431,item_used,2024-06-28,23,28,6,2024
153,154,621,level_completed,2024-03-12,4,12,3,2024
154,155,322,achievement_unlocked,2024-03-04,32,4,3,2024
155,156,84,achievement_unlocked,2024-05-01,48,1,5,2024
156,157,594,achievement_unlocked,2024-03-09,20,9,3,2024
157,158,345,achievement_unlocked,2024-06-19,21,19,6,2024
158,159,977,achievement_unlocked,2024-01-24,23,24,1,2024
159,160,500,item_used,2024-06-26,5,26,6,2024
160,161,534,item_used,2024-04-06,25,6,4,2024
161,162,354,achievement_unlocked,2024-05-09,32,9,5,2024
162,163,342,achievement_unlocked,2024-07-27,43,27,7,2024
163,164,45,item_used,2024-01-14,12,14,1,2024
164,165,85,level_completed,2024-07-12,38,12,7,2024
165,166,54,level_completed,2024-05-05,14,5,5,2024
166,167,456,level_completed,2024-01-05,6,5,1,2024
167,168,939,item_used,2024-09-05,21,5,9,2024
168,169,289,achievement_unlocked,2024-04-24,29,24,4,2024
169,170,656,level_completed,2024-06-30,27,30,6,2024
170,171,97,achievement_unlocked,2024-07-04,48,4,7,2024
171,172,188,achievement_unlocked,2024-07-10,22,10,7,2024
172,173,814,level_completed,2024-09-24,50,24,9,2024
173,174,235,achievement_unlocked,2024-05-07,8,7,5,2024
174,175,882,achievement_unlocked,2024-08-04,29,4,8,2024
175,176,75,achievement_unlocked,2024-07-01,39,1,7,2024
176,177,874,achievement_unlocked,2024-01-05,31,5,1,2024
177,178,776,item_used,2024-03-27,21,27,3,2024
178,179,589,item_used,2024-01-13,25,13,1,2024
179,180,499,achievement_unlocked,2024-06-23,18,23,6,2024
180,181,950,item_used,2024-01-16,41,16,1,2024
181,182,607,level_completed,2024-04-16,49,16,4,2024
182,183,37,level_completed,2024-04-14,15,14,4,2024
183,184,19,achievement_unlocked,2024-08-25,33,25,8,2024
184,185,965,item_used,2024-05-23,23,23,5,2024
185,186,981,achievement_unlocked,2024-08-06,1,6,8,2024
186,187,909,level_completed,2024-03-19,48,19,3,2024
187,188,141,item_used,2024-01-10,16,10,1,2024
188,189,43,achievement_unlocked,2024-03-07,28,7,3,2024
189,190,520,level_completed,2024-03-08,19,8,3,2024
190,191,215,achievement_unlocked,2024-05-08,19,8,5,2024
191,192,684,achievement_unlocked,2024-02-10,10,10,2,2024
192,193,45,item_used,2024-05-22,45,22,5,2024
193,194,68,level_completed,2024-09-27,30,27,9,2024
194,195,534,item_used,2024-05-25,28,25,5,2024
195,196,885,item_used,2024-06-09,33,9,6,2024
196,197,156,item_used,2024-07-26,41,26,7,2024
197,198,817,item_used,2024-06-01,3,1,6,2024
198,199,641,achievement_unlocked,2024-05-22,38,22,5,2024
199,200,233,achievement_unlocked,2024-05-11,13,11,5,2024
200,201,889,item_used,2024-09-20,20,20,9,2024
201,202,302,item_used,2024-01-24,35,24,1,2024
202,203,724,level_completed,2024-09-06,25,6,9,2024
203,204,893,achievement_unlocked,2024-03-02,15,2,3,2024
204,205,519,item_used,2024-08-13,21,13,8,2024
205,206,252,item_used,2024-05-31,2,31,5,2024
206,207,995,level_completed,2024-02-15,7,15,2,2024
207,208,800,level_completed,2024-02-20,26,20,2,2024
208,209,659,level_completed,2024-04-26,26,26,4,2024
209,210,412,item_used,2024-02-02,27,2,2,2024
210,211,578,achievement_unlocked,2024-06-27,33,27,6,2024
211,212,874,achievement_unlocked,2024-01-08,41,8,1,2024
212,213,295,item_used,2024-07-17,1,17,7,2024
213,214,505,achievement_unlocked,2024-08-02,17,2,8,2024
214,215,34,item_used,2024-01-06,47,6,1,2024
215,216,319,level_completed,2024-04-25,42,25,4,2024
216,217,156,level_completed,2024-01-01,27,1,1,2024
217,218,467,achievement_unlocked,2024-02-15,3,15,2,2024
218,219,612,level_completed,2024-04-30,49,30,4,2024
219,220,838,level_completed,2024-01-05,6,5,1,2024
220,221,549,achievement_unlocked,2024-02-12,19,12,2,2024
221,222,328,item_used,2024-03-30,22,30,3,2024
222,223,895,achievement_unlocked,2024-09-23,24,23,9,2024
223,224,163,item_used,2024-05-03,27,3,5,2024
224,225,542,level_completed,2024-06-28,26,28,6,2024
225,226,158,item_used,2024-02-04,49,4,2,2024
226,227,561,achievement_unlocked,2024-05-28,14,28,5,2024
227,228,158,level_completed,2024-03-12,35,12,3,2024
228,229,654,achievement_unlocked,2024-01-07,3,7,1,2024
229,230,476,level_completed,2024-06-27,50,27,6,2024
230,231,728,level_completed,2024-06-23,4,23,6,2024
231,232,536,item_used,2024-09-01,9,1,9,2024
232,233,440,item_used,2024-04-05,6,5,4,2024
233,234,426,item_used,2024-03-15,48,15,3,2024
234,235,515,level_completed,2024-08-16,38,16,8,2024
235,236,612,achievement_unlocked,2024-06-22,49,22,6,2024
236,237,998,achievement_unlocked,2024-02-26,6,26,2,2024
237,238,899,level_completed,2024-08-31,9,31,8,2024
238,239,811,achievement_unlocked,2024-02-23,39,23,2,2024
239,240,262,achievement_unlocked,2024-03-01,24,1,3,2024
240,241,731,achievement_unlocked,2024-01-27,37,27,1,2024
241,242,696,item_used,2024-02-18,3,18,2,2024
242,243,398,achievement_unlocked,2024-01-21,23,21,1,2024
243,244,758,achievement_unlocked,2024-01-02,22,2,1,2024
244,245,63,item_used,2024-06-04,28,4,6,2024
245,246,672,level_completed,2024-05-31,35,31,5,2024
246,247,560,achievement_unlocked,2024-08-06,36,6,8,2024
247,248,767,level_completed,2024-06-17,34,17,6,2024
248,249,534,level_completed,2024-08-06,20,6,8,2024
249,250,440,level_completed,2024-09-07,26,7,9,2024
250,251,175,achievement_unlocked,2024-02-09,43,9,2,2024
251,252,48,achievement_unlocked,2024-03-16,35,16,3,2024
252,253,589,item_used,2024-08-21,15,21,8,2024
253,254,192,item_used,2024-01-29,5,29,1,2024
254,255,769,level_completed,2024-07-01,41,1,7,2024
255,256,54,level_completed,2024-01-27,26,27,1,2024
256,257,235,achievement_unlocked,2024-01-29,9,29,1,2024
257,258,345,achievement_unlocked,2024-05-19,7,19,5,2024
258,259,283,item_used,2024-03-19,25,19,3,2024
259,260,43,achievement_unlocked,2024-04-10,10,10,4,2024
260,261,489,item_used,2024-07-21,31,21,7,2024
261,262,62,achievement_unlocked,2024-01-28,1,28,1,2024
262,263,856,achievement_unlocked,2024-07-31,26,31,7,2024
263,264,380,item_used,2024-04-30,12,30,4,2024
264,265,173,item_used,2024-01-04,47,4,1,2024
265,266,802,achievement_unlocked,2024-01-04,39,4,1,2024
266,267,251,item_used,2024-03-25,42,25,3,2024
267,268,73,level_completed,2024-03-01,46,1,3,2024
268,269,472,achievement_unlocked,2024-02-19,7,19,2,2024
269,270,328,achievement_unlocked,2024-04-11,17,11,4,2024
270,271,419,achievement_unlocked,2024-05-26,39,26,5,2024
271,272,248,level_completed,2024-08-17,17,17,8,2024
272,273,636,item_used,2024-08-25,36,25,8,2024
273,274,641,achievement_unlocked,2024-08-15,23,15,8,2024
274,275,603,item_used,2024-05-22,28,22,5,2024
275,276,828,level_completed,2024-01-01,45,1,1,2024
276,277,339,achievement_unlocked,2024-08-03,9,3,8,2024
277,278,931,level_completed,2024-01-03,11,3,1,2024
278,279,488,item_used,2024-02-13,16,13,2,2024
279,280,332,achievement_unlocked,2024-04-13,15,13,4,2024
280,281,983,achievement_unlocked,2024-01-28,50,28,1,2024
281,282,446,item_used,2024-07-25,11,25,7,2024
282,283,399,achievement_unlocked,2024-05-09,16,9,5,2024
283,284,933,item_used,2024-01-24,39,24,1,2024
284,285,394,item_used,2024-03-14,16,14,3,2024
285,286,536,item_used,2024-04-20,39,20,4,2024
286,287,106,achievement_unlocked,2024-04-11,18,11,4,2024
287,288,333,level_completed,2024-05-23,34,23,5,2024
288,289,834,item_used,2024-06-25,21,25,6,2024
289,290,982,level_completed,2024-05-26,43,26,5,2024
290,291,519,achievement_unlocked,2024-09-15,7,15,9,2024
291,292,71,achievement_unlocked,2024-02-08,23,8,2,2024
292,293,785,level_completed,2024-08-17,42,17,8,2024
293,294,873,item_used,2024-08-28,23,28,8,2024
294,295,716,level_completed,2024-01-05,33,5,1,2024
295,296,891,level_completed,2024-09-09,29,9,9,2024
296,297,411,achievement_unlocked,2024-04-23,25,23,4,2024
297,298,921,level_completed,2024-02-03,3,3,2,2024
298,299,175,achievement_unlocked,2024-08-27,41,27,8,2024
299,300,973,item_used,2024-03-23,17,23,3,2024
300,301,799,achievement_unlocked,2024-01-24,7,24,1,2024
301,302,67,item_used,2024-01-22,42,22,1,2024
302,303,767,level_completed,2024-06-28,20,28,6,2024
303,304,566,item_used,2024-06-26,9,26,6,2024
304,305,204,item_used,2024-09-21,25,21,9,2024
305,306,561,achievement_unlocked,2024-04-12,4,12,4,2024
306,307,406,item_used,2024-06-09,43,9,6,2024
307,308,936,level_completed,2024-04-19,2,19,4,2024
308,309,491,achievement_unlocked,2024-05-29,13,29,5,2024
309,310,807,level_completed,2024-08-22,42,22,8,2024
310,311,677,level_completed,2024-06-16,9,16,6,2024
311,312,662,item_used,2024-05-17,43,17,5,2024
312,313,807,item_used,2024-01-27,39,27,1,2024
313,314,653,item_used,2024-06-13,33,13,6,2024
314,315,230,level_completed,2024-03-24,2,24,3,2024
315,316,406,item_used,2024-06-13,41,13,6,2024
316,317,280,level_completed,2024-01-14,28,14,1,2024
317,318,84,item_used,2024-04-03,21,3,4,2024
318,319,166,achievement_unlocked,2024-06-03,21,3,6,2024
319,320,624,achievement_unlocked,2024-02-29,37,29,2,2024
320,321,227,achievement_unlocked,2024-09-07,38,7,9,2024
321,322,382,achievement_unlocked,2024-07-14,19,14,7,2024
322,323,378,item_used,2024-06-14,26,14,6,2024
323,324,310,achievement_unlocked,2024-07-30,7,30,7,2024
324,325,179,achievement_unlocked,2024-07-08,32,8,7,2024
325,326,623,level_completed,2024-05-26,24,26,5,2024
326,327,965,level_completed,2024-06-19,38,19,6,2024
327,328,548,item_used,2024-08-09,39,9,8,2024
328,329,794,achievement_unlocked,2024-03-11,4,11,3,2024
329,330,615,level_completed,2024-07-10,4,10,7,2024
330,331,919,achievement_unlocked,2024-02-11,26,11,2,2024
331,332,556,level_completed,2024-02-04,29,4,2,2024
332,333,967,item_used,2024-08-17,31,17,8,2024
333,334,521,level_completed,2024-02-03,1,3,2,2024
334,335,870,item_used,2024-09-19,13,19,9,2024
335,336,655,level_completed,2024-08-07,44,7,8,2024
336,337,183,level_completed,2024-03-31,21,31,3,2024
337,338,219,level_completed,2024-06-20,35,20,6,2024
338,339,849,achievement_unlocked,2024-09-22,42,22,9,2024
339,340,435,level_completed,2024-01-17,6,17,1,2024
340,341,945,level_completed,2024-02-21,48,21,2,2024
341,342,995,level_completed,2024-01-01,42,1,1,2024
342,343,406,level_completed,2024-08-18,4,18,8,2024
343,344,914,item_used,2024-08-10,24,10,8,2024
344,345,453,item_used,2024-02-03,41,3,2,2024
345,346,889,achievement_unlocked,2024-05-21,42,21,5,2024
346,347,262,achievement_unlocked,2024-09-02,23,2,9,2024
347,348,622,level_completed,2024-09-19,37,19,9,2024
348,349,940,achievement_unlocked,2024-09-03,42,3,9,2024
349,350,802,achievement_unlocked,2024-04-29,14,29,4,2024
350,351,264,achievement_unlocked,2024-02-03,10,3,2,2024
351,352,400,achievement_unlocked,2024-07-17,35,17,7,2024
352,353,779,item_used,2024-04-25,28,25,4,2024
353,354,324,item_used,2024-01-20,14,20,1,2024
354,355,687,level_completed,2024-01-22,42,22,1,2024
355,356,619,level_completed,2024-04-27,32,27,4,2024
356,357,804,item_used,2024-09-09,26,9,9,2024
357,358,146,level_completed,2024-08-01,19,1,8,2024
358,359,943,level_completed,2024-09-24,33,24,9,2024
359,360,25,achievement_unlocked,2024-02-09,5,9,2,2024
360,361,173,item_used,2024-02-13,39,13,2,2024
361,362,874,achievement_unlocked,2024-03-29,46,29,3,2024
362,363,465,level_completed,2024-03-31,2,31,3,2024
363,364,261,level_completed,2024-04-19,35,19,4,2024
364,365,51,item_used,2024-09-02,22,2,9,2024
365,366,577,item_used,2024-04-16,48,16,4,2024
366,367,788,level_completed,2024-03-23,37,23,3,2024
367,368,64,achievement_unlocked,2024-06-28,41,28,6,2024
368,369,566,item_used,2024-01-21,42,21,1,2024
369,370,849,item_used,2024-09-17,8,17,9,2024
370,371,422,item_used,2024-09-28,45,28,9,2024
371,372,720,item_used,2024-05-02,43,2,5,2024
372,373,649,achievement_unlocked,2024-01-18,12,18,1,2024
373,374,15,level_completed,2024-06-11,19,11,6,2024
374,375,999,item_used,2024-02-29,42,29,2,2024
375,376,190,item_used,2024-02-26,40,26,2,2024
376,377,253,level_completed,2024-05-16,47,16,5,2024
377,378,225,achievement_unlocked,2024-05-02,19,2,5,2024
378,379,996,achievement_unlocked,2024-04-01,42,1,4,2024
379,380,749,achievement_unlocked,2024-09-05,31,5,9,2024
380,381,968,achievement_unlocked,2024-04-16,47,16,4,2024
381,382,936,item_used,2024-09-12,50,12,9,2024
382,383,42,level_completed,2024-07-03,25,3,7,2024
383,384,469,achievement_unlocked,2024-04-19,50,19,4,2024
384,385,537,item_used,2024-09-09,30,9,9,2024
385,386,613,item_used,2024-04-18,3,18,4,2024
386,387,33,item_used,2024-04-24,43,24,4,2024
387,388,741,level_completed,2024-02-14,42,14,2,2024
388,389,959,achievement_unlocked,2024-02-29,7,29,2,2024
389,390,355,item_used,2024-09-06,48,6,9,2024
390,391,327,item_used,2024-03-25,34,25,3,2024
391,392,187,level_completed,2024-05-23,17,23,5,2024
392,393,986,achievement_unlocked,2024-06-05,31,5,6,2024
393,394,484,achievement_unlocked,2024-08-25,45,25,8,2024
394,395,899,item_used,2024-03-22,23,22,3,2024
395,396,117,item_used,2024-05-08,38,8,5,2024
396,397,444,item_used,2024-08-04,36,4,8,2024
397,398,805,achievement_unlocked,2024-09-08,2,8,9,2024
398,399,450,achievement_unlocked,2024-05-18,9,18,5,2024
399,400,356,level_completed,2024-01-19,7,19,1,2024
400,401,341,item_used,2024-01-07,32,7,1,2024
401,402,412,item_used,2024-02-26,47,26,2,2024
402,403,970,item_used,2024-02-05,19,5,2,2024
403,404,224,achievement_unlocked,2024-04-11,3,11,4,2024
404,405,198,level_completed,2024-01-28,48,28,1,2024
405,406,146,item_used,2024-08-21,43,21,8,2024
406,407,455,achievement_unlocked,2024-02-02,8,2,2,2024
407,408,181,achievement_unlocked,2024-06-29,45,29,6,2024
408,409,719,level_completed,2024-05-17,38,17,5,2024
409,410,945,achievement_unlocked,2024-07-03,42,3,7,2024
410,411,444,level_completed,2024-03-13,23,13,3,2024
411,412,44,item_used,2024-09-17,10,17,9,2024
412,413,986,achievement_unlocked,2024-09-19,30,19,9,2024
413,414,455,item_used,2024-05-05,50,5,5,2024
414,415,486,item_used,2024-08-28,28,28,8,2024
415,416,999,level_completed,2024-05-25,2,25,5,2024
416,417,773,item_used,2024-01-19,48,19,1,2024
417,418,135,level_completed,2024-09-02,45,2,9,2024
418,419,934,achievement_unlocked,2024-08-20,37,20,8,2024
419,420,13,achievement_unlocked,2024-08-29,10,29,8,2024
420,421,934,level_completed,2024-01-14,37,14,1,2024
421,422,617,item_used,2024-04-01,16,1,4,2024
422,423,616,level_completed,2024-02-12,47,12,2,2024
423,424,703,achievement_unlocked,2024-08-22,34,22,8,2024
424,425,165,level_completed,2024-02-12,26,12,2,2024
425,426,311,achievement_unlocked,2024-06-11,22,11,6,2024
426,427,483,level_completed,2024-06-09,11,9,6,2024
427,428,198,item_used,2024-05-24,31,24,5,2024
428,429,312,item_used,2024-05-31,13,31,5,2024
429,430,346,level_completed,2024-06-19,48,19,6,2024
430,431,796,level_completed,2024-06-25,6,25,6,2024
431,432,17,achievement_unlocked,2024-04-05,14,5,4,2024
432,433,731,level_completed,2024-07-26,5,26,7,2024
433,434,998,item_used,2024-03-17,19,17,3,2024
434,435,264,level_completed,2024-08-18,32,18,8,2024
435,436,607,level_completed,2024-01-18,8,18,1,2024
436,437,859,achievement_unlocked,2024-06-15,3,15,6,2024
437,438,116,level_completed,2024-01-31,3,31,1,2024
438,439,509,item_used,2024-07-08,23,8,7,2024
439,440,507,level_completed,2024-06-20,40,20,6,2024
440,441,948,level_completed,2024-08-09,24,9,8,2024
441,442,563,level_completed,2024-01-01,5,1,1,2024
442,443,537,level_completed,2024-08-24,6,24,8,2024
443,444,171,level_completed,2024-06-02,13,2,6,2024
444,445,920,item_used,2024-05-08,29,8,5,2024
445,446,810,level_completed,2024-04-15,23,15,4,2024
446,447,743,level_completed,2024-03-01,29,1,3,2024
447,448,839,achievement_unlocked,2024-09-06,43,6,9,2024
448,449,356,level_completed,2024-01-16,27,16,1,2024
449,450,186,item_used,2024-04-25,37,25,4,2024
450,451,726,item_used,2024-05-11,23,11,5,2024
451,452,658,level_completed,2024-03-31,19,31,3,2024
452,453,908,level_completed,2024-07-20,2,20,7,2024
453,454,973,item_used,2024-03-28,26,28,3,2024
454,455,671,item_used,2024-05-15,34,15,5,2024
455,456,410,achievement_unlocked,2024-08-21,33,21,8,2024
456,457,331,achievement_unlocked,2024-05-05,47,5,5,2024
457,458,219,item_used,2024-01-09,32,9,1,2024
458,459,549,level_completed,2024-09-04,1,4,9,2024
459,460,464,level_completed,2024-03-11,7,11,3,2024
460,461,875,level_completed,2024-09-21,40,21,9,2024
461,462,964,level_completed,2024-09-22,3,22,9,2024
462,463,731,level_completed,2024-01-30,10,30,1,2024
463,464,329,achievement_unlocked,2024-03-16,37,16,3,2024
464,465,648,achievement_unlocked,2024-09-19,8,19,9,2024
465,466,69,item_used,2024-03-18,41,18,3,2024
466,467,163,achievement_unlocked,2024-04-06,31,6,4,2024
467,468,30,item_used,2024-01-14,24,14,1,2024
468,469,698,item_used,2024-04-08,39,8,4,2024
469,470,993,item_used,2024-03-15,40,15,3,2024
470,471,470,level_completed,2024-05-27,13,27,5,2024
471,472,634,achievement_unlocked,2024-09-26,45,26,9,2024
472,473,659,item_used,2024-07-08,11,8,7,2024
473,474,228,achievement_unlocked,2024-07-22,23,22,7,2024
474,475,406,item_used,2024-04-26,47,26,4,2024
475,476,256,level_completed,2024-03-01,8,1,3,2024
476,477,376,item_used,2024-07-09,24,9,7,2024
477,478,297,item_used,2024-08-16,15,16,8,2024
478,479,657,achievement_unlocked,2024-06-21,46,21,6,2024
479,480,714,level_completed,2024-07-08,41,8,7,2024
480,481,63,level_completed,2024-04-30,46,30,4,2024
481,482,758,achievement_unlocked,2024-01-10,29,10,1,2024
482,483,912,level_completed,2024-09-19,17,19,9,2024
483,484,872,item_used,2024-02-03,22,3,2,2024
484,485,312,item_used,2024-08-02,28,2,8,2024
485,486,155,level_completed,2024-06-28,12,28,6,2024
486,487,473,achievement_unlocked,2024-02-04,26,4,2,2024
487,488,111,item_used,2024-02-19,14,19,2,2024
488,489,390,level_completed,2024-08-30,12,30,8,2024
489,490,956,achievement_unlocked,2024-08-31,36,31,8,2024
490,491,834,level_completed,2024-04-11,2,11,4,2024
491,492,341,item_used,2024-08-08,10,8,8,2024
492,493,97,achievement_unlocked,2024-02-18,23,18,2,2024
493,494,784,level_completed,2024-06-28,45,28,6,2024
494,495,88,item_used,2024-05-17,40,17,5,2024
495,496,419,level_completed,2024-09-13,45,13,9,2024
496,497,125,level_completed,2024-09-21,6,21,9,2024
497,498,342,achievement_unlocked,2024-09-18,17,18,9,2024
